sample_id,audio_path,filter_cutoff_normalized,spectral_centroid_hz,spectral_rolloff_85_hz,rms,zero_crossing_rate,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13
pilot_v1_00000,data\raw\audio\pilot_v1\pilot_v1_00000.wav,0.4968908429145813,269.04914006429095,148.46134185791016,0.02644159433528334,0.006152729801434629,-840.9320948799569,51.40818658266003,-4.992920755113199,1.6528457688732017,5.80900534351007,0.05003068356018233,-2.7901759194040805,-5.074538026926344,-2.1936737171131995,-1.380811821748809,-4.441447032546037,-10.046489598081319,-14.993126235635373
pilot_v1_00001,data\raw\audio\pilot_v1\pilot_v1_00001.wav,0.6183102130889893,628.1085939911561,213.4815216064453,0.048507260060556855,0.00882848698780792,-646.3586114841441,79.81009486342053,35.47737642324742,-9.278028805242004,-11.552362412761326,-0.6601858504921843,3.7207710425826894,-0.8021334634288265,-2.6471393952624926,-3.6623585142129294,-7.99107983336449,-15.429178201365566,-19.20627923733911
pilot_v1_00002,data\raw\audio\pilot_v1\pilot_v1_00002.wav,0.4138450026512146,628.6236784340058,177.31246948242188,0.023444564385241215,0.007226056130431825,-781.388812230923,59.04868224868253,15.338921292389776,-3.912996119812987,-1.9804497406941808,-4.280497081041997,-5.395179299574739,-6.711903669277398,-6.760620695484867,-7.048524592963118,-7.570257744806797,-8.033769425979472,-8.401046691323646
pilot_v1_00003,data\raw\audio\pilot_v1\pilot_v1_00003.wav,0.8402072191238403,1425.5986755478477,763.1669998168945,0.026817881507313446,0.014013711365921134,-691.2856880333381,25.086692832876786,-19.58639963105727,1.812478111478573,-13.401284235130982,-9.452582048379249,-5.513832251750269,-1.535907231771544,-0.7812618132853124,-0.1255674578743762,-5.85393776991159,-3.5248299773325065,1.1918300310987977
pilot_v1_00004,data\raw\audio\pilot_v1\pilot_v1_00004.wav,0.34904927015304565,782.6566878131296,193.21002960205078,0.00909663356364652,0.008057506103598667,-731.064709552403,61.51167910938081,31.26152158532916,1.8060577209548365,-2.939537895272931,-4.352213686526976,-5.300478395055487,-6.00947014490044,-5.887217482567441,-7.774509174435865,-7.845761936797772,-6.473345908836598,-3.8975393055617946
pilot_v1_00005,data\raw\audio\pilot_v1\pilot_v1_00005.wav,0.7669577598571777,722.8254000740757,144.59209442138672,0.0741051362376338,0.007029531591319662,-699.4611853770821,43.4824052230648,-18.710721892125097,-0.7543520261114067,-7.590042094168842,-2.8865854202849044,-6.185147987025467,-3.6145901978423227,-5.240372784076198,-4.3411423515990055,-5.59129215447931,-4.715218277297845,-5.137173171378694
pilot_v1_00006,data\raw\audio\pilot_v1\pilot_v1_00006.wav,0.561145007610321,382.7541025225155,154.60166931152344,0.040938206605612294,0.006394606157264983,-860.1132971517146,55.77804850185863,20.3223923300678,-2.811742193907493,0.24872466084379066,-0.062168632335072756,-2.117337679778548,-2.3321859414836994,-1.2833708541456958,-2.959338251713751,-6.7681617348333,-11.36583830045081,-13.975239217107237
pilot_v1_00007,data\raw\audio\pilot_v1\pilot_v1_00007.wav,0.6910275816917419,966.4918364806233,466.1602020263672,0.13108354225526445,0.010309979667268838,-228.83413573689194,90.02969146926638,-23.12269792441658,1.3968257047319517,-6.131467982510803,-0.5104470125233612,-7.4219160403832385,-7.6029931663874715,-10.540866291533305,-6.984900839150277,-3.743989789200403,1.9699686447343596,3.550628222281845
pilot_v1_00008,data\raw\audio\pilot_v1\pilot_v1_00008.wav,0.39394235610961914,621.6376498651871,175.12550354003906,0.01870126203351727,0.007316759763868207,-778.9094454287205,57.54733053022087,18.225542580362024,0.6773215850870061,3.265783984471228,0.12440854657221577,-2.5779662646302364,-4.482086488863604,-4.474386305592804,-4.53305590143161,-5.113979924295088,-6.291789661015585,-7.6021423433600095
pilot_v1_00009,data\raw\audio\pilot_v1\pilot_v1_00009.wav,0.7902942895889282,235.60566615003262,148.12488555908203,0.08167600710661474,0.006077143440237643,-820.7182650299367,66.6349789989072,-2.7187950896157513,0.6885623538050398,1.1566071995550793,-3.547308408057092,-1.383756694240519,-2.8563859325877,-0.969608622282647,-1.5981407273536288,-5.242019188913591,-11.462753431688103,-15.663567192877785
pilot_v1_00010,data\raw\audio\pilot_v1\pilot_v1_00010.wav,0.44797587394714355,270.685856629048,156.6204071044922,0.043386214573911897,0.0065457788796589545,-822.729208110446,73.57889874873705,28.560524955443956,2.6201150593473144,1.2562488771000222,-3.711644733470861,-6.164484410820652,-6.057823138136785,-4.507066124376941,-4.336907033457793,-4.429850321718509,-5.795459733325689,-6.748678471919518
pilot_v1_00011,data\raw\audio\pilot_v1\pilot_v1_00011.wav,0.5995412468910217,898.0509989923436,467.0013427734375,0.061353225254259354,0.010173924217114263,-330.99855408793746,108.07176365372776,-15.171801727495936,-8.435258349577015,-15.342302912927778,-9.152314586429332,-10.046543881915554,-6.335160923491069,-6.0572443845669435,-4.735155760792368,-5.591057095616543,-2.9458642642645025,0.23846698099972174
pilot_v1_00012,data\raw\audio\pilot_v1\pilot_v1_00012.wav,0.5208324790000916,393.91091442651054,285.5672836303711,0.017733415424001257,0.006228316162631615,-798.7175785439107,72.68011605785559,0.2074132530103438,-5.133058048201208,-9.262010078709709,-10.671749608185412,-7.5008489770612,-3.171935037783843,0.7664823974377795,-0.8350165850478054,-4.295012076010033,-4.526025573820889,0.4848970365229145
pilot_v1_00013,data\raw\audio\pilot_v1\pilot_v1_00013.wav,0.6636724472045898,841.5958753451948,555.0687789916992,0.08350938177342267,0.008647079720935154,-446.50993717679484,77.82708683247878,-24.247383950259383,-3.407677121930685,-9.827505187769482,-3.0793959607593315,-6.852382913617855,-4.611302329184935,-6.559492051328358,-4.454961195666007,-5.5566999127954695,-5.159792763371024,-6.970254441991519
pilot_v1_00014,data\raw\audio\pilot_v1\pilot_v1_00014.wav,0.3205447196960449,420.6123341938374,160.4055404663086,0.014698626010521307,0.006696951602052925,-874.2428487986366,39.339192277100025,32.47540810939212,10.16168952060763,0.8066488186037499,-1.5919227403969634,-0.08270201342404275,-0.9684944728847025,-3.359500960487425,-6.427327493918815,-8.159766873884303,-10.295853352549655,-13.034574527142377
pilot_v1_00015,data\raw\audio\pilot_v1\pilot_v1_00015.wav,0.7256293892860413,662.6871972215864,437.30907440185547,0.05895179125832865,0.007195821585953031,-760.2774714403417,27.894426772409776,-25.054866002956853,3.120330338251985,1.3458882621203136,3.5542625109804638,-3.909732418536696,-3.2275040237984958,-2.454919101388393,0.19651170584416264,-3.742897536721881,-8.884460574373794,-14.184654775844361
pilot_v1_00016,data\raw\audio\pilot_v1\pilot_v1_00016.wav,0.3040737509727478,346.14097950219065,164.190673828125,0.02470318145392691,0.006863241596686294,-809.4693351174008,54.0182154185384,10.485646044130771,2.4041476058258575,9.61943607672083,1.9037650793866039,-2.770322532713647,-5.1837817643336015,-4.169579685493231,-3.864391257168564,-6.226707563803141,-11.602731403795113,-15.618121940164494
pilot_v1_00017,data\raw\audio\pilot_v1\pilot_v1_00017.wav,0.7434598803520203,288.3092533407296,222.73406982421875,0.02883888638918944,0.006046908895758849,-867.1255021855021,62.059778952316954,2.45439232244073,-13.370694661244109,6.0773272743513465,2.800198881138106,-6.302351247844887,-3.9474828249690694,0.49944602855550674,-1.3811961987374688,-4.6631490873858,-9.447363550119686,-14.193008389213748
pilot_v1_00018,data\raw\audio\pilot_v1\pilot_v1_00018.wav,0.5379140973091125,317.1848734801972,148.79779815673828,0.05529838212774056,0.006243433434871012,-783.1943889078311,63.87865100297557,-8.371308563412748,0.18611644552293538,-2.42344700123459,-2.8207116962108443,-5.746550314986019,-5.87633925472712,-4.206114682953024,-2.9438158607635003,-3.946489088812123,-6.684785915380572,-9.08203417222619
pilot_v1_00019,data\raw\audio\pilot_v1\pilot_v1_00019.wav,0.646305501461029,1201.2319998289545,1053.3605575561523,0.02252415294189682,0.0404538205126267,-586.0186832579614,71.0912051946378,-16.402990447822976,-10.540915997421305,-16.034883337613376,-10.830951362752387,-4.711062703871829,3.591467345177961,3.1393377729969387,-2.5361176083284693,-7.1849450249232385,-3.517587298607684,3.9718345016677734
