epoch,train_normalized_mse,validation_normalized_mse
1,0.08100303051417855,0.07451966273434021
2,0.072477357528003,0.0667414216726434
3,0.06453614097466108,0.060710619769844355
4,0.058136889676908,0.054605393506148285
5,0.05523198195283957,0.05485685089347409
6,0.05328041305981567,0.052473088105519615
7,0.051092463280546216,0.0507922464726018
8,0.04959930189781719,0.050234525227079205
9,0.04840475950340066,0.048523886165782515
10,0.04790652930390849,0.047981083466141834
11,0.04583340224620041,0.046084376818993515
12,0.045154362352921994,0.04616846114981408
13,0.043657770082445514,0.044325720299692714
14,0.04304474924255495,0.04487222140910579
15,0.042316828050419815,0.04305695917676477
16,0.04182372875830047,0.04194405769892767
17,0.041481776069736014,0.04347349316173909
18,0.04147283885268647,0.04120737160829937
19,0.04088158723107915,0.04299773787166558
20,0.04045235059964351,0.0425428726217326
21,0.04022296929734239,0.04175164996116769
22,0.039771509617203174,0.0408095691864397
23,0.0391976902391011,0.042951517245348764
24,0.03878849163032859,0.041136482401805764
25,0.038296359367168284,0.03967850341224203
26,0.039203776822167295,0.04074144261140449
27,0.038409275986408864,0.040899559125012044
28,0.038856719862737935,0.04127547312893119
29,0.037441514277778414,0.03882531653724465
30,0.03742044413137057,0.03961710544193492
31,0.037370568775868675,0.03960779287359294
32,0.03675626240607001,0.0388749564687411
33,0.03611866795026921,0.03847442793787694
34,0.0362769945619016,0.040052813569120334
35,0.036081716290905945,0.03886127282007068
36,0.0359472566180759,0.03788040914371902
37,0.03538829215571412,0.03867387377163943
38,0.0350737070598809,0.037333575095616134
39,0.03513606493526181,0.03752584821161102
40,0.034541178740315384,0.03956273921272334
41,0.03413648820585675,0.036863709562549404
42,0.034292425837490585,0.03669611116250356
43,0.03370569348881096,0.03646729718528542
44,0.03369246185353533,0.03895167991811154
45,0.03397656712449077,0.037304188033529355
46,0.03467603491321297,0.03893946257292056
47,0.03434345912602213,0.03636352272302497
48,0.03321309550978034,0.037938070720901676
49,0.033555897252954846,0.03665922355710292
50,0.03355058415432407,0.03697386186789064
51,0.03382170258114917,0.03766715490058357
52,0.03244166096424518,0.03575206526062068
53,0.031739495994843846,0.03561793158159537
54,0.033191612583922815,0.035906051303826125
55,0.03230357184205591,0.03524901286936274
56,0.03152684059553531,0.0339901587177141
57,0.03222704119298048,0.03784544882821102
58,0.032352911915643746,0.03510643804774565
59,0.03156535123203118,0.0347168070136332
60,0.031961002979559484,0.034562728568619375
