mmr_lambda,mean_audio_similarity,minimum_audio_similarity,mean_pairwise_parameter_distance,minimum_pairwise_parameter_distance,mean_query_parameter_distance
0.5,0.8687502295154874,0.7903444596267426,0.42337059904418073,0.3466085011969957,0.35649423797889435
0.6,0.8834324744971505,0.8219267900033159,0.4099915917212009,0.3282772645033982,0.3544786376581551
0.7,0.8973180703041401,0.8468078969062315,0.39206319196621464,0.3091612220924343,0.3373176254265001
0.75,0.9042216727067347,0.8607042643874481,0.3801442233640776,0.2904302900438129,0.3321465130115952
0.8,0.9074215853982088,0.8673913402622555,0.37358700640161413,0.2789349077545398,0.3267853299651914
0.9,0.9163956954213548,0.8911393365602911,0.3389723912190336,0.22564595079921854,0.3138830068925998
1.0,0.9183146683114829,0.8989406607526271,0.3196107471670423,0.20411007594979935,0.30355745775653237
