query_id,baseline_mean_audio_similarity,baseline_minimum_audio_similarity,baseline_mean_pairwise_parameter_distance,baseline_minimum_pairwise_parameter_distance,baseline_mean_query_parameter_distance,mmr_mean_audio_similarity,mmr_minimum_audio_similarity,mmr_mean_pairwise_parameter_distance,mmr_minimum_pairwise_parameter_distance,mmr_mean_query_parameter_distance
pilot_v1_00045,0.903828742111757,0.8831699117118383,0.3270253844127597,0.24014120531089098,0.3666689421208843,0.8902277113690638,0.832077414566739,0.37423413535674743,0.3146397826854957,0.3906310522618016
pilot_v1_00046,0.9608562448117478,0.9391400420335353,0.2471517378381133,0.1274278918654012,0.32591640209871764,0.9459384802514206,0.9187666919645885,0.34399266417452556,0.24805973089587566,0.38249165498821797
pilot_v1_00068,0.8850105472478849,0.8548982573241997,0.37425319363276854,0.27127806807125926,0.3499257821600014,0.8769993894900123,0.8148424685348374,0.4019595708473462,0.27127806807125926,0.3761553228337278
pilot_v1_00071,0.8130501899489373,0.7568171231068034,0.31097010486599697,0.17578719736802706,0.31366451736870743,0.8110740737785056,0.7469365422546451,0.2959219934663937,0.2461298676799622,0.26559453883993783
pilot_v1_00107,0.9563527866991199,0.9445922655220704,0.30822390445239306,0.21161856288921765,0.3085785630154391,0.9398672780369056,0.895403386125712,0.3981826989490587,0.34770877927821137,0.338053401822917
pilot_v1_00121,0.9621647423248323,0.9527814610230039,0.3149002439530274,0.24047693576807944,0.2832574883226145,0.9467900548136117,0.9314460148638595,0.3927802387676631,0.3229234572157547,0.33608012035076995
pilot_v1_00126,0.945811692195216,0.9242595057852356,0.32215835378276064,0.21950029731667448,0.2851049117817371,0.9355320060209849,0.9024204732169516,0.42348163124942123,0.26045502758801176,0.3083490692730993
pilot_v1_00133,0.9176969894318855,0.9079969712092326,0.2976812823509002,0.18037388474864532,0.2602592839696125,0.9025276302716179,0.8463906677355792,0.3457244139729151,0.22686972718481557,0.3000126275566787
pilot_v1_00158,0.9877297715620296,0.9791279084567988,0.2863502204613453,0.2066817218917933,0.23063763464504533,0.9726056523032538,0.9350560355529991,0.3870198835402084,0.28994733278182283,0.3060755567621383
pilot_v1_00174,0.9247481148195501,0.909657366991627,0.2923862767081451,0.19787510123313592,0.263182354468251,0.8958972005159975,0.8156752397048362,0.39373080962802776,0.284473082163636,0.33433014208805517
pilot_v1_00181,0.7679982117556396,0.717705024109813,0.3355045282977028,0.22670028899274283,0.3559048213046245,0.7607203762504346,0.6813158465837877,0.37040606763642214,0.22670028899274283,0.36457161942633065
